Date;Time;day_of_week;CO_GT_;PT08S1_CO_;C6H6_GT_;PT08S2_NMHC_;NOx_GT_;PT08S3_NOx_;NO2_GT_;PT08S4_NO2_;PT08S5_O3_;T;RH;AH
15.03.2004;00:00:00;Monday;1,8;1239;7,4;872;104;985;99;1547;1250;14,8;54,7;0,9164
15.03.2004;01:00:00;Monday;1,8;1239;6,9;853;106;1010;93;1543;1174;14;57;0,9094
15.03.2004;02:00:00;Monday;1,8;1224;7;855;108;998;88;1566;1149;13,4;61,3;0,9361
15.03.2004;03:00:00;Monday;1,1;1078;4,4;734;NA;1128;NA;1487;1021;12,6;63,5;0,923
15.03.2004;04:00:00;Monday;NA;1078;4;711;66;1150;71;1468;1013;12,3;65,4;0,9351
15.03.2004;05:00:00;Monday;1;1075;3,9;703;88;1156;74;1464;1010;11,9;67,4;0,9375
15.03.2004;06:00:00;Monday;1,4;1157;6,4;830;138;1030;80;1584;1083;11,4;70,5;0,9475
15.03.2004;07:00:00;Monday;2,2;1314;9,7;966;228;897;89;1710;1235;11,3;70,2;0,9401
15.03.2004;08:00:00;Monday;5,5;1797;25,9;1451;360;652;114;2323;1680;12,4;63,9;0,917
15.03.2004;09:00:00;Monday;8,1;1961;36,7;1701;478;537;149;2665;2184;14,8;54,3;0,9076
15.03.2004;10:00:00;Monday;5,8;1771;26,6;1470;394;622;157;2262;1973;17,4;45,6;0,8993
15.03.2004;11:00:00;Monday;4,2;1564;20,1;1300;319;710;155;2029;1798;19,8;38,5;0,8801
15.03.2004;12:00:00;Monday;3,1;1430;14,1;1120;201;831;134;1783;1522;22;34,1;0,8904
15.03.2004;13:00:00;Monday;2,9;1417;14,9;1146;171;830;119;1831;1404;23,3;32,2;0,9096
15.03.2004;14:00:00;Monday;2,9;1400;15,4;1162;159;838;111;1829;1263;23,9;30;0,8757
15.03.2004;15:00:00;Monday;2,5;1317;12,1;1053;153;926;104;1707;1137;24,4;28,9;0,8736
15.03.2004;16:00:00;Monday;2,3;1318;11,5;1033;143;950;99;1675;1068;24,4;29,4;0,8848
15.03.2004;17:00:00;Monday;2,8;1445;14,8;1141;156;857;110;1824;1252;23,8;31,3;0,9137
15.03.2004;18:00:00;Monday;6,1;1917;32,1;1601;314;631;162;2447;1843;22,5;35,4;0,9547
15.03.2004;19:00:00;Monday;8;2040;39,2;1754;404;542;187;2679;2122;20,4;42,5;1,0086
15.03.2004;20:00:00;Monday;6,5;1895;31;1573;320;565;165;2443;1992;18,3;52,6;1,0945
15.03.2004;21:00:00;Monday;4,2;1595;19,9;1294;256;678;145;2058;1707;16,7;57,4;1,0786
15.03.2004;22:00:00;Monday;3,2;1439;15,3;1159;193;764;125;1856;1494;15,7;60,2;1,0654
15.03.2004;23:00:00;Monday;1,4;1142;6,9;852;89;1008;101;1547;1164;15,3;61,4;1,058
16.03.2004;00:00:00;Tuesday;2,1;1304;11,1;1019;127;852;103;1731;1272;14,1;65,7;1,0494
16.03.2004;01:00:00;Tuesday;1,2;1074;5,4;784;79;1098;88;1483;1040;14,8;60,6;1,0148
16.03.2004;02:00:00;Tuesday;0,8;968;2,8;640;43;1320;61;1386;867;14,8;59,2;0,9879
16.03.2004;03:00:00;Tuesday;0,7;929;2,3;608;NA;1376;NA;1364;826;13,6;62,1;0,9636
16.03.2004;04:00:00;Tuesday;NA;941;2,6;626;59;1316;59;1373;840;12,3;66,2;0,945
16.03.2004;05:00:00;Tuesday;0,6;937;2;585;38;1412;52;1348;793;12,8;63,2;0,9283
16.03.2004;06:00:00;Tuesday;0,9;1017;3,5;681;82;1246;64;1418;870;11,2;68,5;0,9081
16.03.2004;07:00:00;Tuesday;1,3;1171;5,1;770;99;1162;70;1467;930;11;66,5;0,8705
16.03.2004;08:00:00;Tuesday;3,4;1541;16,2;1185;263;770;97;1889;1407;11,7;63,7;0,8719
16.03.2004;09:00:00;Tuesday;3,7;1539;19,7;1287;229;698;95;2055;1507;13,6;56,3;0,8743
16.03.2004;10:00:00;Tuesday;5,3;1735;25,1;1431;396;628;150;2211;1843;17,8;42,9;0,8672
16.03.2004;11:00:00;Tuesday;4,1;1571;20;1297;314;730;162;1973;1729;21,4;33,3;0,8417
16.03.2004;12:00:00;Tuesday;3,3;1452;18,3;1250;217;776;154;1868;1583;24,4;27,4;0,8231
16.03.2004;13:00:00;Tuesday;4;1579;22,3;1359;252;724;161;1998;1671;25,3;26,1;0,8264
16.03.2004;14:00:00;Tuesday;3,8;1466;20,4;1309;263;773;161;1897;1491;25,8;23,2;0,7589
16.03.2004;15:00:00;Tuesday;2,8;1280;14,6;1136;180;893;128;1675;1240;27;20,2;0,7094
16.03.2004;16:00:00;Tuesday;2,9;1407;16,6;1197;184;905;129;1759;1313;28,2;18,6;0,7014
16.03.2004;17:00:00;Tuesday;2,9;1389;15,8;1173;190;898;133;1739;1363;28;19,1;0,7098
16.03.2004;18:00:00;Tuesday;3,4;1447;17,8;1235;184;859;139;1778;1296;23,9;25,7;0,7519
16.03.2004;19:00:00;Tuesday;3,9;1551;19,1;1271;181;800;137;1875;1432;21,3;34,8;0,873
16.03.2004;20:00:00;Tuesday;3,2;1474;15,8;1173;166;854;143;1776;1432;20,4;36,7;0,8704
16.03.2004;21:00:00;Tuesday;5,1;1800;24,9;1426;317;700;177;2106;2034;19;41,3;0,9007
16.03.2004;22:00:00;Tuesday;2,6;1379;13,5;1101;184;818;138;1710;1602;17,9;45,9;0,9342
16.03.2004;23:00:00;Tuesday;1,7;1201;9,1;943;130;935;117;1560;1362;16,7;48,9;0,9226
17.03.2004;00:00:00;Wednesday;1,7;1205;8,6;925;132;922;107;1547;1314;15,5;52,9;0,9271
17.03.2004;01:00:00;Wednesday;1,2;1072;5,4;784;95;1066;90;1442;1114;15,5;51,9;0,9059
17.03.2004;02:00:00;Wednesday;0,9;998;4,1;714;70;1169;79;1383;992;14,1;55,6;0,891
17.03.2004;03:00:00;Wednesday;0,7;933;2,6;625;NA;1292;NA;1332;884;13,1;57,9;0,8666
17.03.2004;04:00:00;Wednesday;NA;883;1,9;577;54;1396;60;1303;808;12,7;57,9;0,8447
17.03.2004;05:00:00;Wednesday;0,5;869;1,6;554;28;1460;40;1268;667;11,8;58;0,8026
17.03.2004;06:00:00;Wednesday;0,5;891;1,9;576;46;1417;53;1289;733;11,9;57,4;0,7978
17.03.2004;07:00:00;Wednesday;1,6;1173;7,5;878;160;1038;84;1556;1052;9,9;65,2;0,7956
17.03.2004;08:00:00;Wednesday;4,1;1587;21,4;1334;320;702;108;1999;1534;11,1;60,2;0,7958
17.03.2004;09:00:00;Wednesday;6,6;1852;36,4;1696;377;553;127;2535;1931;14,1;50;0,802
17.03.2004;10:00:00;Wednesday;4,3;1522;21,3;1331;280;703;134;2026;1734;17,7;40,1;0,8048
17.03.2004;11:00:00;Wednesday;2,9;1438;15,4;1161;221;819;135;1782;1595;21,1;33,4;0,8265
17.03.2004;12:00:00;Wednesday;2,5;1393;12,5;1067;210;905;142;1654;1490;24,3;28,3;0,8471
17.03.2004;13:00:00;Wednesday;2,8;1452;15,1;1152;204;861;153;1747;1508;25,6;25,6;0,8254
17.03.2004;14:00:00;Wednesday;2,6;1389;13,7;1108;161;887;123;1712;1334;25,9;25,9;0,8503
17.03.2004;15:00:00;Wednesday;2;1207;10,4;994;135;1013;104;1520;1045;26,8;18,7;0,65
17.03.2004;16:00:00;Wednesday;2,9;1365;15,2;1154;186;940;129;1679;1221;29,3;15,8;0,6309
17.03.2004;17:00:00;Wednesday;2,5;1247;12,3;1060;147;1032;114;1525;1069;28,5;14,9;0,5708
17.03.2004;18:00:00;Wednesday;5;1557;27;1478;299;793;158;1981;1569;25,9;16;0,5237
17.03.2004;19:00:00;Wednesday;7,6;1973;38,4;1737;411;617;194;2414;2306;23,1;26,5;0,7403
17.03.2004;20:00:00;Wednesday;6,7;1975;35,1;1667;347;597;182;2416;2359;20,5;38,2;0,9133
17.03.2004;21:00:00;Wednesday;5,7;1795;27,2;1485;336;653;180;2174;2050;19,1;42,6;0,9294
17.03.2004;22:00:00;Wednesday;2,8;1444;15;1150;202;770;136;1727;1727;17,2;44,1;0,8558
17.03.2004;23:00:00;Wednesday;2,6;1488;15,7;1171;178;731;127;1778;1705;16;50,9;0,9206
18.03.2004;00:00:00;Thursday;2,3;1371;13;1083;154;796;116;1669;1551;14,8;53,9;0,9024
18.03.2004;01:00:00;Thursday;1,4;1161;8,1;904;92;947;107;1502;1240;14,3;55,4;0,8975
18.03.2004;02:00:00;Thursday;1;1064;5,5;787;61;1057;88;1407;1115;14,8;52,1;0,8686
18.03.2004;03:00:00;Thursday;0,7;970;3,6;687;NA;1196;NA;1351;969;13,9;53,9;0,8501
18.03.2004;04:00:00;Thursday;NA;954;2,9;645;60;1260;78;1334;925;11,6;61,9;0,8442
18.03.2004;05:00:00;Thursday;0,6;931;2,5;623;37;1293;57;1307;828;12;58,9;0,8233
18.03.2004;06:00:00;Thursday;0,7;938;3;650;68;1251;71;1333;893;10,9;62,1;0,8113
18.03.2004;07:00:00;Thursday;1,5;1166;7,7;885;139;1005;85;1551;1075;10,6;63,3;0,8067
18.03.2004;08:00:00;Thursday;4,7;1643;23,3;1384;339;667;124;2094;1610;11,5;60;0,8117
18.03.2004;09:00:00;Thursday;6,6;1934;35,8;1682;421;541;151;2468;2051;14,3;50,6;0,8186
18.03.2004;10:00:00;Thursday;4,5;1617;21,3;1333;349;686;150;2010;1819;17,8;40,5;0,821
18.03.2004;11:00:00;Thursday;2,8;1473;14,3;1127;224;831;152;1752;1568;20,8;34,4;0,8365
18.03.2004;12:00:00;Thursday;2,2;1379;12,5;1068;171;899;139;1663;1374;23,8;28,2;0,8219
18.03.2004;13:00:00;Thursday;2,2;1385;12,2;1056;149;891;133;1648;1268;24,2;28,7;0,8515
18.03.2004;14:00:00;Thursday;2,3;1379;13,1;1087;137;901;126;1660;1144;25,2;24,9;0,7829
18.03.2004;15:00:00;Thursday;2,2;1322;14,4;1129;149;934;128;1639;1109;27;17,8;0,6275
18.03.2004;16:00:00;Thursday;2,8;1496;16,8;1205;172;822;169;1767;1347;27,1;23,1;0,818
18.03.2004;17:00:00;Thursday;2,7;1409;14,5;1131;166;873;149;1689;1206;25,8;23,9;0,7832
18.03.2004;18:00:00;Thursday;3,7;1513;21,5;1338;214;764;156;1957;1397;23;26,8;0,7446
18.03.2004;19:00:00;Thursday;5,1;1667;26,4;1464;280;683;168;2118;1588;20,7;31,1;0,7523
18.03.2004;20:00:00;Thursday;5,1;1667;26;1453;276;684;176;2051;1569;18,6;36,2;0,7676
18.03.2004;21:00:00;Thursday;3,2;1430;14,1;1121;178;814;135;1732;1322;16;48,4;0,8768
18.03.2004;22:00:00;Thursday;2,1;1333;10,3;989;129;885;121;1621;1194;14,5;57,8;0,9456
18.03.2004;23:00:00;Thursday;1,7;1262;8,3;911;95;948;99;1545;1062;13,1;64,2;0,9606
19.03.2004;00:00:00;Friday;2;1287;8,9;936;126;918;106;1606;1040;12;69,7;0,9735
19.03.2004;01:00:00;Friday;1,6;1134;6,6;840;103;1021;96;1501;917;11,9;71,1;0,9915
19.03.2004;02:00:00;Friday;0,9;999;3,6;688;48;1229;63;1380;594;12,5;69,3;1,0029
19.03.2004;03:00:00;Friday;0,7;961;2,5;622;NA;1382;NA;1301;430;12,5;67,5;0,9768
19.03.2004;04:00:00;Friday;NA;934;1,8;569;20;1440;32;1280;397;12,3;67,7;0,9665
19.03.2004;05:00:00;Friday;0,5;913;1,3;525;18;1620;28;1260;370;12,5;66,8;0,962
19.03.2004;06:00:00;Friday;0,7;969;2,3;607;56;1373;61;1324;438;12,3;66,3;0,9487
19.03.2004;07:00:00;Friday;1,5;1182;6,7;845;115;1054;99;1539;704;12,4;64,9;0,9332
19.03.2004;08:00:00;Friday;4,8;1740;22,8;1372;320;671;157;2144;1476;13;61,6;0,9209
19.03.2004;09:00:00;Friday;6,2;1819;31,3;1582;357;575;166;2456;1716;13,6;58,8;0,912
19.03.2004;10:00:00;Friday;4;1427;19,2;1275;253;701;149;1980;1398;13,9;57,1;0,9032
19.03.2004;11:00:00;Friday;3,3;1390;16,4;1191;218;759;135;1879;1268;14,5;54,4;0,8917
19.03.2004;12:00:00;Friday;2,8;1283;14;1117;192;813;127;1751;1188;15,5;50,1;0,8744
19.03.2004;13:00:00;Friday;3;1304;15,3;1157;176;793;122;1801;1171;16,1;47,6;0,8655
19.03.2004;14:00:00;Friday;3,3;1364;16,7;1202;198;771;135;1875;1250;16,3;47,1;0,864
19.03.2004;15:00:00;Friday;3,5;1410;19;1268;212;724;139;1957;1344;16,4;47,5;0,8791
19.03.2004;16:00:00;Friday;4;1476;19,4;1280;249;708;147;1955;1378;16,1;50,2;0,9094
19.03.2004;17:00:00;Friday;4,6;1522;20,9;1320;270;690;158;2005;1435;16;50,7;0,9142
19.03.2004;18:00:00;Friday;4,1;1442;20,2;1301;231;704;146;1952;1372;15,8;50,3;0,8989
19.03.2004;19:00:00;Friday;4,5;1469;21,7;1344;251;677;144;1997;1471;15,5;50,6;0,884
19.03.2004;20:00:00;Friday;3,9;1467;19,8;1292;210;698;138;1942;1439;15,4;51,4;0,8956
19.03.2004;21:00:00;Friday;4;1421;16,7;1202;249;748;143;1854;1429;15,2;53,1;0,9117
19.03.2004;22:00:00;Friday;2,2;1175;9,1;945;143;904;116;1604;1081;14,7;57,6;0,9573
19.03.2004;23:00:00;Friday;2,1;1215;8,3;912;127;948;109;1547;993;14,2;58,3;0,938
20.03.2004;00:00:00;Saturday;1,7;1127;5,8;802;104;1064;92;1447;837;13,8;57,9;0,9085
20.03.2004;01:00:00;Saturday;1,6;1090;5,2;773;86;1105;83;1429;761;13,9;55,9;0,8842
20.03.2004;02:00:00;Saturday;1,3;1017;4,1;718;74;1182;81;1382;650;13,9;55,6;0,8765
20.03.2004;03:00:00;Saturday;1,3;997;3,4;677;NA;1252;NA;1359;591;13,8;55,1;0,8666
20.03.2004;04:00:00;Saturday;NA;945;2,9;646;44;1308;55;1332;505;13,8;54,6;0,8574
20.03.2004;05:00:00;Saturday;0,8;956;3,1;661;42;1260;53;1351;518;13,6;55,1;0,856
20.03.2004;06:00:00;Saturday;0,8;966;2,5;622;63;1317;67;1342;571;13,6;59;0,9129
20.03.2004;07:00:00;Saturday;1,1;1064;4,3;728;115;1161;91;1461;842;13,5;58,4;0,896
20.03.2004;08:00:00;Saturday;2,1;1300;8,9;935;170;902;113;1623;1145;13,8;58;0,9083
20.03.2004;09:00:00;Saturday;2,4;1348;10,5;998;147;834;102;1689;1218;14,6;53,1;0,8765
20.03.2004;10:00:00;Saturday;2,6;1425;12,5;1068;166;776;107;1764;1341;15;52,3;0,8881
20.03.2004;11:00:00;Saturday;2,8;1474;12,3;1061;195;768;113;1768;1406;15,4;52,1;0,9046
20.03.2004;12:00:00;Saturday;2,6;1490;11,7;1039;182;782;108;1757;1422;16,3;50;0,9158
20.03.2004;13:00:00;Saturday;2,6;1495;11,7;1040;168;809;105;1735;1373;17,1;47,9;0,9281
20.03.2004;14:00:00;Saturday;2,1;1376;9,3;953;125;900;93;1636;1153;19;42,9;0,937
20.03.2004;15:00:00;Saturday;1,7;1305;7,6;884;95;980;87;1573;927;19,5;42,3;0,9476
20.03.2004;16:00:00;Saturday;1,6;1283;6,7;844;79;1036;76;1539;766;19,5;42,3;0,9493
20.03.2004;17:00:00;Saturday;2,1;1392;9,7;967;119;930;94;1649;941;19,1;43,8;0,9556
20.03.2004;18:00:00;Saturday;2,3;1452;12,4;1063;142;856;110;1774;1146;18,5;46,3;0,9744
20.03.2004;19:00:00;Saturday;3,5;1633;16,6;1199;215;734;136;1919;1417;17,4;51,6;1,0159
20.03.2004;20:00:00;Saturday;3,9;1625;16,4;1191;229;733;139;1885;1442;17,1;51,3;0,9914
20.03.2004;21:00:00;Saturday;3,3;1535;13,7;1108;206;785;125;1820;1323;16,4;53,8;0,9964
20.03.2004;22:00:00;Saturday;2,3;1323;9,9;973;147;864;111;1712;1125;16,2;55,4;1,0132
20.03.2004;23:00:00;Saturday;2,1;1309;8,9;937;122;905;97;1672;1036;15,9;57,7;1,0356
21.03.2004;00:00:00;Sunday;2,8;1456;10,6;999;175;835;107;1714;1202;15,7;58,6;1,0396
21.03.2004;01:00:00;Sunday;2,1;1300;7,4;872;133;941;90;1577;1054;15,1;60,9;1,0398
21.03.2004;02:00:00;Sunday;1,6;1203;6,2;823;89;1004;84;1526;903;15,6;56,6;0,9951
21.03.2004;03:00:00;Sunday;1,6;1195;6,5;836;NA;987;NA;1554;885;15,2;57,9;0,9941
21.03.2004;04:00:00;Sunday;NA;1117;5,8;802;85;1029;87;1539;818;15,4;57,8;1,0021
21.03.2004;05:00:00;Sunday;1,1;1062;4;711;55;1136;66;1461;700;14,9;60,6;1,0196
21.03.2004;06:00:00;Sunday;0,7;947;2,1;594;24;1300;36;1390;580;14,5;63;1,0316
21.03.2004;07:00:00;Sunday;0,8;1065;3,6;687;72;1143;62;1492;815;14,2;66,2;1,063
21.03.2004;08:00:00;Sunday;1,2;1155;4,4;734;122;1062;91;1528;1035;14,5;65,3;1,0704
21.03.2004;09:00:00;Sunday;1,4;1220;5,4;782;111;996;89;1560;1067;15,3;62,1;1,073
21.03.2004;10:00:00;Sunday;1,7;1301;7,1;862;123;914;93;1633;1114;16,3;59;1,0868
21.03.2004;11:00:00;Sunday;1,8;1279;7,3;870;106;911;81;1646;1000;18,9;49,6;1,07
21.03.2004;12:00:00;Sunday;1,8;1267;7,6;883;103;953;82;1617;906;19,4;46,1;1,0249
21.03.2004;13:00:00;Sunday;1,9;1239;6,8;848;102;981;80;1568;822;20,8;41,6;1,0091
21.03.2004;14:00:00;Sunday;1,3;1128;4,6;742;48;1144;48;1507;610;21,4;40,3;1,0126
21.03.2004;15:00:00;Sunday;1,6;1243;8,4;916;63;962;61;1669;657;21,2;39,3;0,9791
21.03.2004;16:00:00;Sunday;1,9;1208;6,9;853;98;1060;89;1506;647;20,3;38;0,8942
21.03.2004;17:00:00;Sunday;2,3;1306;9;938;132;961;105;1607;762;19,4;41,3;0,9206
21.03.2004;18:00:00;Sunday;3,8;1546;15,1;1151;173;769;116;1874;1122;18,5;43,8;0,9252
21.03.2004;19:00:00;Sunday;3,5;1501;12,6;1071;185;823;119;1744;1130;17,8;48,1;0,9689
21.03.2004;20:00:00;Sunday;4,3;1605;15,1;1153;266;769;144;1840;1637;17,9;46,9;0,952
21.03.2004;21:00:00;Sunday;2,8;1316;9,9;974;188;883;123;1673;1272;17,4;49,1;0,9688
21.03.2004;22:00:00;Sunday;1,9;1195;8;898;122;933;105;1594;1098;17;51,7;0,9914
21.03.2004;23:00:00;Sunday;1,9;1211;7,9;896;112;920;93;1624;1066;16,4;55,1;1,0198
